latitude,longitude,speed,acceleration,timestamp,anomaly
55.755985,37.617619,48.41,-1.59,1743007425062,false
55.756283,37.617013,48.55,0.14,1743007426062,false
55.756334,37.616433,49.27,0.72,1743007427062,false
55.756332,37.617210,50.80,1.53,1743007428062,false
55.756137,37.617816,49.83,-0.97,1743007429062,false
55.755253,37.617033,47.92,-1.90,1743007430062,false
55.754628,37.616551,47.75,-0.17,1743007431062,false
55.754218,37.616188,0.00,-1.12,1743007432062,true
55.753637,37.615992,0.00,-1.82,1743007433062,true
55.753774,37.616505,1.57,1.57,1743007434062,false
55.757207,37.616408,3.44,1.87,1743007435062,false
55.756812,37.615738,3.14,-0.31,1743007436062,false
55.757554,37.615757,4.72,1.58,1743007437062,false
55.758506,37.615967,5.13,0.41,1743007438062,false
55.757836,37.615859,5.38,0.25,1743007439062,false
55.757478,37.615193,6.64,1.25,1743007440062,false
55.758220,37.615757,4.84,-1.80,1743007441062,false
55.758079,37.616745,3.12,-1.72,1743007442062,false
55.757478,37.617064,2.36,-0.76,1743007443062,false
55.758075,37.618002,0.60,-1.76,1743007444062,false
55.757693,37.617148,1.50,0.90,1743007445062,false
55.757344,37.617019,2.17,0.67,1743007446062,false
55.756505,37.617401,0.47,-1.70,1743007447062,false
55.757261,37.617082,1.06,0.59,1743007448062,false
55.757523,37.616323,2.78,1.72,1743007449062,false
55.757754,37.615645,2.83,0.06,1743007450062,false
55.758435,37.616413,3.71,0.87,1743007451062,false
55.758077,37.616043,2.00,-1.71,1743007452062,false
55.758078,37.616280,0.76,-1.24,1743007453062,false
55.758326,37.616647,0.00,-1.83,1743007454062,true
55.761720,37.617448,0.00,-0.11,1743007455062,true
55.761798,37.618029,0.00,-1.39,1743007456062,true
55.761733,37.617923,0.00,-1.52,1743007457062,true
55.761223,37.617999,1.35,1.35,1743007458062,false
55.760424,37.618744,0.00,-1.45,1743007459062,true
55.761301,37.619597,1.02,1.02,1743007460062,false
55.762243,37.619438,0.22,-0.80,1743007461062,false
55.762599,37.620247,0.00,-0.25,1743007462062,true
55.763468,37.619540,0.00,-1.77,1743007463062,true
55.764191,37.618609,1.26,1.26,1743007464062,false
55.763900,37.617842,0.56,-0.70,1743007465062,false
55.764401,37.617985,0.00,-1.12,1743007466062,true
55.764962,37.618814,0.00,-0.50,1743007467062,true
55.765305,37.618040,0.00,-1.67,1743007468062,true
55.765574,37.618451,0.00,-0.05,1743007469062,true
55.765115,37.618301,0.00,-1.67,1743007470062,true
55.765379,37.618794,0.00,-1.62,1743007471062,true
55.764643,37.617807,0.00,-1.84,1743007472062,true
55.763796,37.616872,0.74,0.74,1743007473062,false
55.762967,37.616166,1.12,0.38,1743007474062,false
55.763862,37.616825,0.61,-0.51,1743007475062,false
55.763014,37.617534,1.14,0.53,1743007476062,false
55.762962,37.617420,0.08,-1.06,1743007477062,false
55.762373,37.616590,1.38,1.30,1743007478062,false
55.763277,37.617446,0.00,-1.63,1743007479062,true
55.764239,37.618151,0.00,-1.01,1743007480062,true
55.764752,37.619066,0.52,0.52,1743007481062,false
55.764219,37.619314,0.00,-1.08,1743007482062,true
55.764303,37.619261,0.80,0.80,1743007483062,false
55.765106,37.619977,0.00,-1.92,1743007484062,true
55.764579,37.620657,1.71,1.71,1743007485062,false
55.765047,37.620223,1.95,0.25,1743007486062,false
55.765415,37.620409,0.78,-1.18,1743007487062,false
55.764590,37.621279,0.31,-0.47,1743007488062,false
55.764286,37.620754,0.00,-1.20,1743007489062,true
55.764561,37.621726,0.09,0.09,1743007490062,false
55.765008,37.622014,0.00,-0.61,1743007491062,true
55.764265,37.621980,1.56,1.56,1743007492062,false
55.763405,37.622798,3.03,1.47,1743007493062,false
55.763045,37.623015,4.18,1.15,1743007494062,false
55.763028,37.622019,5.71,1.54,1743007495062,false
55.763611,37.621435,6.61,0.90,1743007496062,false
55.763517,37.621341,6.70,0.09,1743007497062,false
55.763412,37.621202,7.73,1.04,1743007498062,false
55.763527,37.620253,7.71,-0.02,1743007499062,false
55.762841,37.619701,7.71,-0.00,1743007500062,false
55.762485,37.620289,6.11,-1.60,1743007501062,false
55.762627,37.620884,6.18,0.07,1743007502062,false
55.762038,37.621434,8.17,1.99,1743007503062,false
55.762908,37.621246,6.52,-1.65,1743007504062,false
55.763054,37.621103,7.35,0.84,1743007505062,false
55.764009,37.620913,8.16,0.81,1743007506062,false
55.764302,37.620921,7.48,-0.69,1743007507062,false
55.763535,37.621777,7.30,-0.18,1743007508062,false
55.763618,37.621083,7.86,0.57,1743007509062,false
55.764502,37.621344,6.98,-0.89,1743007510062,false
55.764763,37.621324,5.32,-1.65,1743007511062,false
55.769468,37.620971,3.49,-1.83,1743007512062,false
